year,month,total,남자,여자,청소년,20대,30대,40대,50대,60대,70세 이상,임금봉급근로자,고용원있는사업주,고용원없는자영업자,무급가족 종사자,사무전문,기술생산노무,판매서비스,자영업,학생,전업주부,무직은퇴,기타,초졸 이하,중학교,고등학교,대학교이상,1인,2인,3인이상,100만원 미만,100~200만원 미만,200~300만원 미만,300~400만원 미만,400~500만원 미만,500~600만원 미만,600만원 이상,무응답,man_count,청년층,중년층
2018,1월,24233,13019,11214,1267,3837,4276,5605,4757,2747,1744,,,,,6819,2349,3422,3956,2064,3865,1440,319,322,1326,8980,13604,2902,4946,16384,208,1717,2928,4201,4876,5948,4200,156,lower,8113,10362
2018,2월,28263,14868,13396,1370,4479,4608,6520,5634,3687,1964,,,,,6976,3005,4150,4622,2745,4917,1377,471,567,1476,11288,14931,3286,6075,18902,307,1491,3643,5368,6323,5792,5190,149,upper,9087,12154
2018,3월,24668,12768,11900,1110,4177,4468,5301,4574,3032,2007,,,,,6738,1868,3655,3827,2225,4177,1670,507,565,1806,8723,13575,3368,5504,15796,401,1511,3896,4508,4656,5347,4198,149,lower,8645,9875
2018,4월,24242,12099,12143,1111,4064,4543,4836,4216,3061,2412,,,,,6543,2369,3339,3748,2451,4071,1403,319,482,1668,8810,13281,3058,5590,15594,395,1778,3178,4332,5338,4516,4566,139,lower,8607,9052
2018,5월,24571,12607,11965,1232,3662,4298,4893,4881,3189,2417,,,,,5527,2497,3224,4691,2572,3946,1583,531,912,1596,9064,13000,3142,5096,16334,590,1496,3449,4436,4996,4518,4830,255,lower,7960,9774
2018,6월,24600,12600,12000,1277,3999,4581,4599,5270,2993,1881,,,,,6922,2465,3428,3762,2256,4021,1484,261,510,1569,9387,13134,3211,5735,15654,457,1205,3331,4976,4873,4998,4561,200,lower,8580,9869
2018,7월,24628,12887,11741,1298,3655,4584,5533,4642,3123,1793,,,,,7085,2453,3593,4407,2150,3342,1192,407,687,1697,9556,12689,2763,5280,16585,321,1445,3125,4840,5304,4856,4564,173,lower,8239,10175
2018,8월,25298,12791,12507,1037,3889,4873,5819,4944,2725,2009,,,,,6066,1872,3985,4820,2508,3994,1451,601,525,1388,10556,12828,2882,5248,17168,352,1354,3672,5459,5199,5608,3601,52,lower,8762,10763
2018,9월,29371,14755,14616,1595,4699,5224,6300,6123,3324,2106,,,,,8274,2698,4751,4533,2949,4311,1420,435,590,1719,12805,14257,3229,6314,19828,347,1878,3817,5732,5856,6451,5186,105,upper,9923,12423
2018,10월,26051,13041,13010,1065,3815,4455,5949,5605,3433,1731,,,,,6212,2429,4311,5386,2042,3923,1409,338,688,1530,10339,13494,3188,5691,17172,390,1376,3661,5563,5621,5661,3648,130,lower,8270,11554
2018,11월,25413,12673,12740,1176,4086,4992,5690,4903,2776,1790,,,,,6298,2596,4364,4177,2088,4703,940,246,449,1742,10044,13178,3225,5190,16997,508,1348,3353,4805,5571,5939,3734,153,lower,9078,10593
2018,12월,29814,15853,13962,1579,4794,5559,6692,5913,3249,2030,,,,,7918,3061,4281,5830,2898,4492,929,405,667,1443,11819,15886,3839,6065,19910,455,1775,3510,5550,7675,6297,4468,84,upper,10353,12605
