기초지자체,방문자 수
수원시 장안구,1.67831557E8
수원시 권선구,1.97247179E8
수원시 팔달구,2.95509553E8
수원시 영통구,2.6111956E8
성남시 수정구,1.83513113E8
성남시 중원구,1.33349513E8
성남시 분당구,4.20093269E8
의정부시,2.03943181E8
안양시 만안구,1.5776578E8
안양시 동안구,2.01462775E8
부천시,3.54744876E8
광명시,1.9065175E8
평택시,2.09771707E8
동두천시,4.6019904E7
안산시 상록구,1.43012754E8
안산시 단원구,2.50732961E8
고양시 덕양구,3.01253958E8
고양시 일산동구,3.01695335E8
고양시 일산서구,2.08670543E8
과천시,9.184817E7
구리시,2.12323938E8
남양주시,3.35496121E8
오산시,1.26734405E8
시흥시,2.5642018E8
군포시,1.24333606E8
의왕시,1.26140443E8
하남시,2.51097347E8
용인시 처인구,2.1473748E8
용인시 기흥구,2.76290052E8
용인시 수지구,1.72042192E8
파주시,2.47020407E8
이천시,1.86664658E8
안성시,1.66405641E8
김포시,2.42760444E8
화성시,4.48125653E8
광주시,2.28472383E8
양주시,1.49512425E8
포천시,1.35872171E8
여주시,1.29449818E8
연천군,4.0387556E7
가평군,1.28026844E8
양평군,1.55754918E8
