기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
가평군,1.28026844E8,1.5
고양시 덕양구,3.01253958E8,3.5
고양시 일산동구,3.01695335E8,3.5
고양시 일산서구,2.08670543E8,2.4
과천시,9.184817E7,1.1
광명시,1.9065175E8,2.2
광주시,2.28472383E8,2.6
구리시,2.12323938E8,2.4
군포시,1.24333606E8,1.4
김포시,2.42760444E8,2.8
남양주시,3.35496121E8,3.9
동두천시,4.6019904E7,0.5
부천시,3.54744876E8,4.1
성남시 분당구,4.20093269E8,4.8
성남시 수정구,1.83513113E8,2.1
성남시 중원구,1.33349513E8,1.5
수원시 권선구,1.97247179E8,2.3
수원시 영통구,2.6111956E8,3.0
수원시 장안구,1.67831557E8,1.9
수원시 팔달구,2.95509553E8,3.4
시흥시,2.5642018E8,3.0
안산시 단원구,2.50732961E8,2.9
안산시 상록구,1.43012754E8,1.6
안성시,1.66405641E8,1.9
안양시 동안구,2.01462775E8,2.3
안양시 만안구,1.5776578E8,1.8
양주시,1.49512425E8,1.7
양평군,1.55754918E8,1.8
여주시,1.29449818E8,1.5
연천군,4.0387556E7,0.5
오산시,1.26734405E8,1.5
용인시 기흥구,2.76290052E8,3.2
용인시 수지구,1.72042192E8,2.0
용인시 처인구,2.1473748E8,2.5
의왕시,1.26140443E8,1.5
의정부시,2.03943181E8,2.4
이천시,1.86664658E8,2.2
파주시,2.47020407E8,2.8
평택시,2.09771707E8,2.4
포천시,1.35872171E8,1.6
하남시,2.51097347E8,2.9
화성시,4.48125653E8,5.2
